,title,link,summary
41,"""IS nevesta"", koja je žrtvovala i svoju decu, pred sudom u Nemačkoj",http://rs.n1info.com/Svet/a575562/IS-nevesta-koja-je-zrtvovala-i-svoju-decu-pred-sudom-u-Nemackoj.html,Jedna majka iz Oberhauzena s troje dece odlazi u Siriju i priključuje se Islamskoj državi. Šestogodišnjeg sina daje na obuku za dete-vojnika. Poginuo je. Njoj danas počinje suđenje u Diseldorfu.
42,"Psi otkrivaju toplinu ""infracrvenim senzorom"" u nosu",http://rs.n1info.com/Ljubimci/a575564/Psi-otkrivaju-toplinu-infracrvenim-senzorom-u-nosu.html,"Psi imaju neku vrstu infracrvenog senzora u nosu kojim mogu da u minutu otkriju promene u temperaturi nastale, na primer, u blizini druge životinje, stoji u studiji mađarskih i švedskih naučnika."
43,"Akademska akcija od REM traži zabranu emitovanja Pinka, Hepija i Studija B",http://rs.n1info.com/Vesti/a575560/Akademska-akcija-od-REM-trazi-zabranu-emitovanja-Pinka-Hepija-i-Studija-B.html,"Članovi akademske zajednice Akademska akcija uputili su Regulatornoj agenciji za elektronske medije (REM) zahtev za razrešenje članova Upravnog odbora Radio-televizije Srbije i zatražila zabranu emitovanja informativnog i političkog programa televizija Pink, Hepi i Studio B."
44,Kinezi dizajnirali robotizovanu ruku za pregled osoba sa koronavirusom,http://rs.n1info.com/Zdravlje/a575284/Naucnici-dizajnirali-robote-za-pregled-zarazenih-koronavirusom.html,Naučnici jednog od najboljih Univerziteta u Kinu dizajnirali su robotsku ruku za koju tvrde da bi mogla da spašava živote u jeku epidemije koronavirusa.
45,Brnabić: Platni razredi najbolji za pravičan obračun i isplatu plata,http://rs.n1info.com/Vesti/a575558/Brnabic-Platni-razredi-najbolji-za-pravican-obracun-i-isplatu-plata.html,"Predsednica Vlade Srbije Ana Brnabić rekla je da je neophodno naći sistemsko rešenje za pravičan i ravnomeran obračun i isplatu plata prema složenosti posla, saopštio je njen kabinet."
46,Serbia’s GDP rose more than four percent in 2019,http://rs.n1info.com/English/NEWS/a575556/Serbia-s-GDP-rose-more-than-four-percent-in-2019.html,"Serbia’s GDP stood at 45.9 billion Euro in 2019, showing a rise of 4.2 percent, the Finance Ministry said on Friday."
47,"""1 od 5 miliona"" predstavio aplikaciju za prijavu izbornih nepravilnosti",http://rs.n1info.com/Izbori-2020/a575554/1-od-5-miliona-predstavio-aplikaciju-za-prijavu-izbornih-nepravilnosti.html,"Pokret #1od5miliona imaće pet miliona kontrolora na predstojećim izborima, zahvaljujući novoj aplikaciji za prijavu izbornih nepravilnosti, koja je danas predstavljena, najavila je predstavnica Pokreta Valentina Reković."
48,"EU Delegation denies financing Vucic documentary, authors to file suit",http://rs.n1info.com/English/NEWS/a575552/EU-Delegation-denies-financing-Vucic-documentary-authors-to-file-suit.html,The Delegation of the European Union on Friday confirmed that the Ruler (Vladalac) two-part documentary about President Aleksandar Vucic’s political biography was not financed by the EU.
49,"Prijatelj obolelog iz Subotice hoće da se pregleda, naišao na ""gluve telefone""",http://rs.n1info.com/Vesti/a575548/Prijatelj-obolelog-iz-Subotice-hoce-da-se-pregleda-naisao-na-gluve-telefone.html,"Prvi slučaj koronavirusa u Srbiji registrovan je 43-godišnjeg Subotičanina koji je boravio u više navrata u Budimpešti. On je smešten u izolaciju u bolnici u Subotici gde su za N1 rekli da su od Ministarstva zdravlja da o tome govore, te da nemaju ništa novo da kažu u odnosu na ono što je resorni ministar Zlatibor Lončar saopštio jutros na konferenciji za novinare."
50,OSCE mission chief warns of drop in professional standards on Serbian TV,http://rs.n1info.com/English/NEWS/a575546/OSCE-mission-chief-warns-of-drop-in-professional-standards-on-Serbian-TV.html,OSCE Serbia mission chief Andrea Oriziowarned on Friday of a drop in professional standards and a lack of pluralism on TV stations with national coverage.
51,Novi dan: Zloupotrebe ličnih podataka za račun političkih stranaka,http://rs.n1info.com/Vesti/a575544/Novi-dan-najava.html,"Stranački aktivisti krenuli su u kampanju ""od vrata do vrata"" i pre nego što su raspisani izbori. Veliki broj građana obratio se Povereniku za zaštitu informacija od javnog značaja i podataka o ličnosti, upravo sa tvrdnjama da stranački aktivisti raspolažu njihovim ličnim podacima. Iako je kampanja ""od vrata do vrata"" uobičajena praksa u SAD, Velikoj Britaniji, Australiji i Kanadi, u Srbiji izaziva uznemirenost kod građana, s obzirom da zloupotrebe ličnih podataka u svrhu stranačkog delovanja poslednjih godina nisu retkost u našoj zemlji."
52,"Vučić: Ukoliko bude opasnosti od migranata, zatvaranje granica u roku od 12 sati",http://rs.n1info.com/Vesti/a575542/Vucic-Ukoliko-bude-opasnosti-od-migranata-granice-ce-biti-zatvorene-u-roku-od-12-sati.html,"Predsednik Aleksandar Vučić izjavio je da će granice Srbije biti zatvorene u roku od 12 sati, ukoliko bude opasnosti od migrantske krize."
53,Majority of young Serbians want to leave the country,http://rs.n1info.com/English/NEWS/a575540/Majority-of-young-Serbians-want-to-leave-the-country.html,"More than 60 percent of young Serbians want to leave the country in search of a better life, a debate on migrantions was told in Belgrade on Friday."
